produto,url,fonte_coluna,preco,preco_num,fornecedor,avaliacao,avaliacoes_qtd,frete_valor,frete_prazo,frete_metodo,data_coleta,duracao_s,status,erro,preco_debug,preco_fontes
samsung galaxy s25 plus,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s25-plus-256gb-5g-prata-galaxy-ai-camera-tripla-50mp-selfie-12mp-ram-12gb-tela-6-7/p/adgg2ge05g/te/g25m/?seller_id=lojasmastercell,LINK MAGALU,"R$ 43,51",43.51,Magalu,21,21.0,,,,2025-11-01 19:24:20,3.12,ok,,"R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista",jsonld>dom>regex
Console PlayStation 5 Slim Edição Digital 1TB,https://www.kabum.com.br/produto/609733/console-playstation-5-sony-slim-ssd-1tb-controle-sem-fio-dualsense-edicao-digital-branco-returnal-e-ratchet-e-clank,LINK KABUM,"R$ 4.099,90",4099.9,KaBuM!,5,2.0,,,,2025-11-01 19:24:25,4.19,ok,,"R$ 4.099,90 | 4099.9 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
Console PlayStation 5 Slim Edição Digital 1TB,https://www.magazineluiza.com.br/playstation5-slim-2025-1tb-1-controle-branco-sony-edicao-digital/p/238073100/ga/otga/?seller_id=magazineluiza,LINK MAGALU,"R$ 3.579,57",3579.57,Magalu,"4,68 de 5",185.0,,,,2025-11-01 19:24:29,2.37,ok,,"R$ 3.579,57 | 3579.57 | score=5 | jsonld; R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista; R$ 4.133,20 | 4133.2 | score=3 | context:por/avista",jsonld>dom>regex
Console PlayStation 4 Slim,https://www.kabum.com.br/produto/410092/console-sony-playstation-4-slim-1tb-standard-jet-black,LINK KABUM,"R$ 2.519,10",2519.1,KaBuM!,"315,8 de 5",,,,,2025-11-01 19:24:34,3.5,ok,,"R$ 2.519,10 | 2519.1 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
Console PlayStation 4 Slim,https://www.magazineluiza.com.br/p-s-4-console-com-armazenamento-interno-2-controles-e-2-jogos-resolucao-hdr/p/jbh1eck94k/et/eace/?seller_id=player1gamesjogoseeletronicosltd,LINK MAGALU,"R$ 43,51",43.51,Magalu,"2,7 de 5",,,,,2025-11-01 19:24:37,2.77,ok,,"R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista; R$ 4.133,20 | 4133.2 | score=3 | context:por/avista",jsonld>dom>regex
Nintendo Switch 2,https://www.kabum.com.br/produto/777177/console-nintendo-switch-2-256gb-preto-azul-e-vermelho,LINK KABUM,"R$ 4.184,07",4184.07,KaBuM!,5,49.0,,,,2025-11-01 19:24:42,3.03,ok,,"R$ 4.184,07 | 4184.07 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
Apple Watch SE GPS,https://www.kabum.com.br/produto/634554/apple-watch-se-gps-caixa-meia-noite-de-aluminio-de-44-mm-pulseira-esportiva-meia-noite-tamanho-m-g-mxek3be-a,LINK KABUM,"R$ 2.449,00",2449.0,KaBuM!,5,1.0,,,,2025-11-01 19:24:46,2.62,ok,,"R$ 2.449,00 | 2449.0 | score=5 | jsonld; R$ 0,10 | 0.1 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
Apple Watch SE GPS,https://www.magazineluiza.com.br/apple-watch-se-gps-caixa-meia-noite-de-aluminio-de-44-mm-pulseira-esportiva-meia-noite-tamanho-m-g-mxek3be-a/p/dc48ge2621/te/smtw/?seller_id=kabum,LINK MAGALU,"R$ 29,90",29.9,Magalu,54,56.0,,,,2025-11-01 19:24:49,2.68,ok,,"R$ 29,90 | 29.9 | score=3 | context:por/avista; R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista; R$ 4.133,20 | 4133.2 | score=3 | context:por/avista; R$ 146,89 | 146.89 | score=0 | sel:[data-testid*=""price""]",jsonld>dom>regex
JBL Boombox 3,https://www.kabum.com.br/produto/386956/caixa-de-som-jbl-boombox-3-bluetooth-usb-80w-rms-preto-28913624,LINK KABUM,"R$ 2.289,99",2289.99,KaBuM!,5,65.0,,,,2025-11-01 19:24:54,3.43,ok,,"R$ 2.289,99 | 2289.99 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista; R$ 1.220,00 | 1220.0 | score=3 | context:por/avista",jsonld>dom>regex
JBL Boombox 3,https://www.magazineluiza.com.br/caixa-de-som-jbl-boombox-3-bluetooth-usb-80w-rms-preto-28913624/p/bfg25f0agj/ea/jbla/?seller_id=kabum,LINK MAGALU,"R$ 2.289,99",2289.99,Magalu,"4,7 de 5",1641.0,,,,2025-11-01 19:24:58,2.78,ok,,"R$ 2.289,99 | 2289.99 | score=5 | jsonld; R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista; R$ 4.133,20 | 4133.2 | score=3 | context:por/avista",jsonld>dom>regex
JBL Partybox club 12,https://www.kabum.com.br/produto/587796/caixa-de-som-acustica-jbl-partybox-club-120-bluetooth-160w-rms-ate-12h-resistente-a-agua-preto-jblpbclub120br,LINK KABUM,"R$ 2.099,00",2099.0,KaBuM!,5,18.0,,,,2025-11-01 19:25:03,3.3,ok,,"R$ 2.099,00 | 2099.0 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
JBL Partybox club 12,https://www.magazineluiza.com.br/caixa-de-som-jbl-partybox-club-120-bluetooth-amplificada-portatil-160w-usb/p/238305400/ea/jbla/?seller_id=magazineluiza,LINK MAGALU,"R$ 2.374,05",2374.05,Magalu,"4,92 de 5",316.0,,,,2025-11-01 19:25:07,2.54,ok,,"R$ 2.374,05 | 2374.05 | score=5 | jsonld; R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista; R$ 4.133,20 | 4133.2 | score=3 | context:por/avista; R$ 5,25 | 5.25 | score=1 | context:por/avista; R$ 5,25 | 5.25 | score=1 | context:por/avista",jsonld>dom>regex
Oculus Quest 2 128gb,https://www.kabum.com.br/produto/295841/oculos-de-realidade-virtual-oculus-quest-2-all-in-one-128gb-com-controle-metaquest,LINK KABUM,"R$ 2.698,20",2698.2,KaBuM!,5,3.0,,,,2025-11-01 19:25:11,3.3,ok,,"R$ 2.698,20 | 2698.2 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
Oculus Quest 2 128gb,https://www.magazineluiza.com.br/oculus-vr-meta-quest-2-128gb-realidade-virtual-2-controles/p/hc782241jk/in/vrov/?seller_id=juliartheshop,LINK MAGALU,"R$ 43,51",43.51,Magalu,5,5.0,,,,2025-11-01 19:25:15,2.62,ok,,"R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista; R$ 4.133,20 | 4133.2 | score=3 | context:por/avista; R$ 43,91 | 43.91 | score=2 | sel:[data-testid*=""price""]; R$ 61,51 | 61.51 | score=2 | sel:[data-testid*=""price""]; R$ 73,38 | 73.38 | score=2 | sel:[data-testid*=""price""]",jsonld>dom>regex
Tablet Samsung s10 FE 128GB,https://www.kabum.com.br/produto/755274/tablet-samsung-galaxy-tab-s10-fe-wifi-128gb-8gb-tela-10-9-90hz-s-pen-e-capa-inclusas-cinza-128-gb-wi-fi-bi-volt,LINK KABUM,"R$ 2.429,10",2429.1,KaBuM!,5,1.0,,,,2025-11-01 19:25:21,4.61,ok,,"R$ 2.429,10 | 2429.1 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 0,53 | 0.53 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
Monitor gamer LG ultragear 27””,https://www.kabum.com.br/produto/620992/monitor-gamer-lg-ultragear-27-fhd-180hz-1ms-ips-dp-e-hdmi-hdr10-freesync-g-sync-27gs60f-b,LINK KABUM,"R$ 1.389,83",1389.83,KaBuM!,5,789.0,,,,2025-11-01 19:25:27,4.06,ok,,"R$ 1.389,83 | 1389.83 | score=5 | jsonld; R$ 0,10 | 0.1 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 0,53 | 0.53 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
Monitor gamer LG ultragear 27””,https://www.magazineluiza.com.br/monitor-gamer-lg-ultragear-27-fhd-180hz-1ms-ips-dp-e-hdmi-hdr10-freesync-g-sync-27gs60f-b/p/ff3j39376a/in/mnpc/?seller_id=kabum,LINK MAGALU,"R$ 43,51",43.51,Magalu,154,169.0,,,,2025-11-01 19:25:30,2.51,ok,,"R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista; R$ 4.133,20 | 4133.2 | score=3 | context:por/avista",jsonld>dom>regex
macbook air m4 16gb ram,https://www.magazineluiza.com.br/macbook-air-apple-13-chip-m4-cpu-10-nucleos-gpu-8-nucleos-neural-engine-16-nucleos-16gb-ram-ssd-256gb-prateado-mw0w3bz-a/p/jh04hgb61k/in/mack/?seller_id=kabum,LINK MAGALU,"R$ 43,51",43.51,Magalu,"104,21 de 5",,,,,2025-11-01 19:25:33,2.12,ok,,"R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista",jsonld>dom>regex
